mmsi,name,class,source
205224690,ICARIA,,db_ships
205227000,Z45 JERKI           ,,db_ships
205227090,DONAU,,db_ships
205228790,DANIQUE F,,db_ships
205228890,RONA,,db_ships
205230390,SANTOS,,db_ships
205231590,MARNIX VST ALDEGONDE,,db_ships
205232990,GALAHAD,,db_ships
205233000,VB FALCON           ,,db_ships
205234000,VB HAWK             ,,db_ships
205236000,Z431 ALLES WISSELT,,db_ships
205238190,SOMTRANS V,,db_ships
205238890,RAVEEL ONTMOET ENSOR,,db_ships
205240000,Z35 ORA ET LABORA   ,,db_ships
205240890,SMARAGD,,db_ships
205241590,BANZYSTAD           ,,db_ships
205243490,VENTUS,,db_ships
205244890,MEYATI,,db_ships
205245990,NATHALIE            ,,db_ships
205246000,Z510 DENNIS         ,,db_ships
205247000,Z575 JANNEKE,,db_ships
205247090,MAASDAM,,db_ships
205248000,SOPHIE Z39,,db_ships
205248590,BIRJO,,db_ships
205249000,MINERAL ESPANA      ,,db_ships
205250970,SAEFTINGHE,,db_ships
205251000,VLAANDEREN VII      ,,db_ships
205251690,BEVERDAM            ,,db_ships
205252390,THEODELA-V,,db_ships
205252690,TUG 22,,db_ships
205252890,ARMADA,,db_ships
205253090,COLOMBIA,,db_ships
205253690,CASA BLANCA,,db_ships
205253790,TAYCAN,,db_ships
205255190,DIAMOND,,db_ships
205255290,JOGO 1              ,,db_ships
205256290,KARA,,db_ships
205257090,MONTEVERDI,,db_ships
205257490,JEWEL,,db_ships
205258590,GOTCHA              ,,db_ships
205259190,VANCOUVER,,db_ships
205260390,COSMOS,,db_ships
205260490,KENYRO,,db_ships
205261000,B-601 VAN MAERLANT,,db_ships
205262090,ESCAUT,,db_ships
205262290,NAVIS,,db_ships
205263000,Z41 ALBERT BOS,,db_ships
205263690,ANTWERPIA,,db_ships
205263890,YARIS,,db_ships
205264000,Z-8 AQUARIUS        ,,db_ships
205265000,O 62 DINI      ,,db_ships
205266690,VALENCIA,,db_ships
205267390,MALLORCA,,db_ships
205267690,RUPELDAM,,db_ships
205268290,VENJO,,db_ships
205268590,RO-MA               ,,db_ships
205268790,AVALONA,,db_ships
205269190,CANFORD,,db_ships
205269790,CYRANO,,db_ships
205270690,ADIO,,db_ships
205270890,POA 2,,db_ships
205270990,SAMOA               ,,db_ships
205271390,THEODELA,,db_ships
205272490,COMPARI,,db_ships
205273990,TUG 90              ,,db_ships
205274590,,,db_ships
205274990,BRABO               ,,db_ships
205275000,O.33 MARBI,,db_ships
205275890,SIRIUS,,db_ships
